Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-16 00:00:00-05:00,165.88517816701534,168.3137195760732,164.98537062276344,168.06214904785156,5236000,0.0,0.0
2025-01-17 00:00:00-05:00,167.26877099660587,168.3427438833191,165.71102680531064,165.99160766601562,7852500,0.0,0.0
2025-01-21 00:00:00-05:00,166.57213138186015,169.95853035627434,165.66263900942442,167.0075225830078,7548500,0.0,0.0
2025-01-22 00:00:00-05:00,164.77250895003218,165.32400055907175,162.60520819515008,163.7082061767578,9465000,0.0,0.0
2025-01-23 00:00:00-05:00,164.92731748638445,165.14984814977942,163.01157251567804,165.1304931640625,7116200,0.0,0.0
2025-01-24 00:00:00-05:00,163.82433427650005,165.55622918422114,163.75659920215261,164.77252197265625,5584900,0.0,0.0
2025-01-27 00:00:00-05:00,167.05590825835944,171.6904307997369,166.98817319010942,171.1582794189453,6985200,0.0,0.0
2025-01-28 00:00:00-05:00,171.06152336043056,171.40983926401904,168.091160687672,169.1361083984375,5603700,0.0,0.0
2025-01-29 00:00:00-05:00,168.83617565943592,171.1776268683045,168.64267010135703,169.57150268554688,3748300,0.0,0.0
2025-01-30 00:00:00-05:00,170.2971531770875,170.40358344454532,168.3330430477971,169.94883728027344,5209200,0.0,0.0
2025-01-31 00:00:00-05:00,181.22072970752868,185.54564625750606,177.70854538832506,177.9310760498047,11926500,0.0,0.0
2025-02-03 00:00:00-05:00,177.2344485609796,185.43922053961515,176.23788085180695,183.9685516357422,9830000,0.0,0.0
2025-02-04 00:00:00-05:00,181.5400225922549,184.94576191132379,180.97884611315723,183.7847137451172,7377800,0.0,0.0
2025-02-05 00:00:00-05:00,184.33620248547228,187.1033746448031,183.7556710761196,185.52627563476562,6449600,0.0,0.0
2025-02-06 00:00:00-05:00,185.6714330686839,188.17737981237912,184.37492942993367,186.7067108154297,4586400,0.0,0.0
2025-02-07 00:00:00-05:00,186.8905266154797,187.56780346268383,184.25880964046252,184.4136199951172,3805900,0.0,0.0
2025-02-10 00:00:00-05:00,185.24569070362583,185.24569070362583,182.9526049746116,184.1620330810547,3685700,0.0,0.0
2025-02-11 00:00:00-05:00,183.6395884335421,185.70044413235212,182.14956456195938,185.60369873046875,3977000,0.0,0.0
2025-02-12 00:00:00-05:00,184.3168763867314,188.06126174962853,184.21044610378843,186.73573303222656,4525000,0.0,0.0
2025-02-13 00:00:00-05:00,187.97418951032262,187.97418951032262,185.2166869842061,187.17112731933594,4108900,0.0,0.0
2025-02-14 00:00:00-05:00,187.65488737182775,188.84496065541109,186.52286428302477,186.6099395751953,3976900,0.0,0.0
2025-02-18 00:00:00-05:00,185.7681777468153,190.6252456946085,184.48134432725823,189.88023376464844,6065500,0.0,0.0
2025-02-19 00:00:00-05:00,190.40268283944226,191.67984603103568,189.64800086751052,190.94451904296875,4888700,0.0,0.0
2025-02-20 00:00:00-05:00,191.57344256746288,194.82438642581553,190.44141945118773,194.35997009277344,5067000,0.0,0.0
2025-02-21 00:00:00-05:00,193.81812655704155,197.35932099402018,193.52786084554432,195.52099609375,5889400,0.0,0.0
2025-02-24 00:00:00-05:00,195.2791144694584,198.82999385326812,194.74696311471249,197.45608520507812,6305000,0.0,0.0
2025-02-25 00:00:00-05:00,198.52036736452052,199.32342942854237,195.78223502210162,197.51412963867188,7746800,0.0,0.0
2025-02-26 00:00:00-05:00,196.98199863527017,197.21421417914414,194.89210303099082,196.4208221435547,4766700,0.0,0.0
